"PIT_number","tag_year","tag_doy","tag_length","pred_days","pred_days_se","pred_days_var","pred_growth_d","pred_growth_d_var","pred_growth","pred_growth_var","pred_length"
"226000800572",2017,96,80,21.9784969741545,1.2967012650507,1.47052337868629,0.614259307272011,0.1336698082052,13.5004963262241,1.51815835155846,93.5004963262241
"226000800515",2017,96,80,21.9784969741545,1.2967012650507,1.47052337868629,0.614259307272011,0.1336698082052,13.5004963262241,1.51815835155846,93.5004963262241
"226000800661",2017,96,87,16.2849349308031,1.21069201074352,1.47043044718135,0.614259307272011,0.1336698082052,10.0031728495649,1.51806542005352,97.0031728495649
"226000800602",2017,96,90,14.321249177045,1.18292990848242,1.47040952463919,0.614259307272011,0.1336698082052,8.79696059876151,1.51804449751137,98.7969605987615
"226000879417",2017,101,82,20.1741186963435,1.26970952108649,1.47049052467804,0.614259307272011,0.1336698082052,12.3921401752393,1.51812549755022,94.3921401752393
"226000800703",2017,102,103,8.20651346615393,1.17614220591693,1.47044992623731,0.614259307272011,0.1336698082052,5.04092727683815,1.51808489910948,108.040927276838
"226000879493",2017,105,73,29.6626502528551,1.40283419560845,1.47067807770567,0.614259307272011,0.1336698082052,18.2205589961707,1.51831305057785,91.2205589961707
"226000879000",2017,105,74,28.4189640263025,1.38667115973196,1.47065219550673,0.614259307272011,0.1336698082052,17.4566131561848,1.51828716837891,91.4566131561848
"226000879299",2017,105,71,32.3156851925304,1.43608673180063,1.47073362501241,0.614259307272011,0.1336698082052,19.8502104003841,1.51836859788459,90.8502104003841
"226000879250",2017,105,87,16.2849349308031,1.21069201074352,1.47043044718135,0.614259307272011,0.1336698082052,10.0031728495649,1.51806542005352,97.0031728495649
"226000879253",2017,105,84,18.5178752511038,1.24450688545754,1.47046271252933,0.614259307272011,0.1336698082052,11.3747772238926,1.51809768540151,95.3747772238926
"226000879301",2017,105,74,28.4189640263025,1.38667115973196,1.47065219550673,0.614259307272011,0.1336698082052,17.4566131561848,1.51828716837891,91.4566131561848
"226000800514",2017,106,74,28.4189640263025,1.38667115973196,1.47065219550673,0.614259307272011,0.1336698082052,17.4566131561848,1.51828716837891,91.4566131561848
"226000800698",2017,106,77,24.9921210556586,1.34011977713906,1.47058211393866,0.614259307272011,0.1336698082052,15.3516429669071,1.51821708681083,92.3516429669071
"226000800619",2017,106,76,26.0858399083406,1.3553050813407,1.47060421368491,0.614259307272011,0.1336698082052,16.0234699517059,1.51823918655709,92.0234699517059
"226000800606",2017,106,82,20.1741186963435,1.26970952108649,1.47049052467804,0.614259307272011,0.1336698082052,12.3921401752393,1.51812549755022,94.3921401752393
"226000800663",2017,106,112,5.58140204391868,1.27116428604295,1.4706026718772,0.614259307272011,0.1336698082052,3.42842815310407,1.51823764474938,115.428428153104
"226000800622",2017,107,89,14.9479835059964,1.19140147491397,1.47041523854344,0.614259307272011,0.1336698082052,9.18193799350679,1.51805021141562,98.1819379935068
"226000800620",2017,107,70,33.7299018592029,1.45316633308641,1.47076329026305,0.614259307272011,0.1336698082052,20.7189061503869,1.51839826313522,90.7189061503869
"226000800690",2017,107,100,9.33176541745307,1.15920975120387,1.4704216988457,0.614259307272011,0.1336698082052,5.73212376094963,1.51805667171788,105.73212376095
"226000800500",2017,107,74,28.4189640263025,1.38667115973196,1.47065219550673,0.614259307272011,0.1336698082052,17.4566131561848,1.51828716837891,91.4566131561848
"226000800516",2017,107,80,21.9784969741545,1.2967012650507,1.47052337868629,0.614259307272011,0.1336698082052,13.5004963262241,1.51815835155846,93.5004963262241
"226000800722",2017,107,125,3.19831395063324,1.47249212466309,1.47100360827146,0.614259307272011,0.1336698082052,1.96459411175438,1.51863858114364,126.964594111754
"226000800529",2017,107,90,14.321249177045,1.18292990848242,1.47040952463919,0.614259307272011,0.1336698082052,8.79696059876151,1.51804449751137,98.7969605987615
"226000800560",2017,107,76,26.0858399083406,1.3553050813407,1.47060421368491,0.614259307272011,0.1336698082052,16.0234699517059,1.51823918655709,92.0234699517059
"226000800626",2017,107,75,27.2274226828581,1.37082543523635,1.47062757418758,0.614259307272011,0.1336698082052,16.7246977959747,1.51826254705976,91.7246977959747
"226000800553",2017,107,74,28.4189640263025,1.38667115973196,1.47065219550673,0.614259307272011,0.1336698082052,17.4566131561848,1.51828716837891,91.4566131561848
"226000800702",2017,108,69,35.206008248107,1.47054314739803,1.47079421667917,0.614259307272011,0.1336698082052,21.6256182382949,1.51842918955134,90.6256182382949
"226000800507",2017,108,84,18.5178752511038,1.24450688545754,1.47046271252933,0.614259307272011,0.1336698082052,11.3747772238926,1.51809768540151,95.3747772238926
"226000800643",2017,108,80,21.9784969741545,1.2967012650507,1.47052337868629,0.614259307272011,0.1336698082052,13.5004963262241,1.51815835155846,93.5004963262241
"226000800521",2017,108,84,18.5178752511038,1.24450688545754,1.47046271252933,0.614259307272011,0.1336698082052,11.3747772238926,1.51809768540151,95.3747772238926
"226000800583",2017,108,70,33.7299018592029,1.45316633308641,1.47076329026305,0.614259307272011,0.1336698082052,20.7189061503869,1.51839826313522,90.7189061503869
"226000800528",2017,108,72,30.9607633553729,1.41930787558868,1.47070522085097,0.614259307272011,0.1336698082052,19.017937051284,1.51834019372314,91.017937051284
"226000800550",2017,108,80,21.9784969741545,1.2967012650507,1.47052337868629,0.614259307272011,0.1336698082052,13.5004963262241,1.51815835155846,93.5004963262241
"226000800591",2017,108,87,16.2849349308031,1.21069201074352,1.47043044718135,0.614259307272011,0.1336698082052,10.0031728495649,1.51806542005352,97.0031728495649
